Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Category
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Naile,MEIGNAN,FRA,15.0,1,6T7z99,,,3T4z55,3T4z89,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Miriam,FOGU,ITA,27.0,2,4T8z814,,,3T4z55,2T4z27,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vanda,MICHALKOVA,SVK,48.0,3,6T7z89,,,3T3z43,2T3z23,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lola,SAUTIER,FRA,17.0,4,4T6z69,,,2T3z89,1T3z38,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Polina,KULAGINA,RUS,39.0,5,4T6z611,,,3T4z76,1T3z47,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Kintana,ILTIS,FRA,16.0,6,6T7z77,,,2T3z88,1T2z33,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Julia,LOTZ,AUT,1.0,7,6T8z811,,,1T4z25,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Aida,TORRES ILLAMOLA,ESP,14.0,8,5T6z88,,,1T3z26,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,FURMANOVA,RUS,37.0,9,5T7z1213,,,1T3z27,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Betka,DEBEVEC,SLO,41.0,10,7T7z97,,,1T3z28,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucija,TARKUS,SLO,42.0,11,7T7z109,,,1T3z415,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucie,WATILLON,BEL,4.0,12,6T6z107,,,1T2z24,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Erica,VELEV,BUL,6.0,13,5T7z611,,,1T2z24,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Liv,EGLI,SUI,46.0,14,5T5z1312,,,1T1z43,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pleun,FRANK,NED,32.0,15,5T6z1210,,,0T3z05,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mona,JENEWEIN,AUT,3.0,16,6T7z910,,,0T3z06,,boulder
