Competition Title,Competition Date,FIRST,LAST,Nation,Rank,Qualification lead,Qualification speed,Qualification boulder,Final lead,Final speed,Final boulder,Points,Final Points,Category
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natsumi,HIRANO,JPN,1,1.,14.,1.,,,,14.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Julia,LOTZ,AUT,2,7.,1.,5.,,,,35.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emily,PHILLIPS,GBR,3,2.,5.,4.,,,,40.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jana,RAUTH,AUT,4,4.,4.,3.,,,,48.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Vanda,MICHALKOVA,SVK,5,3.,15.,6.,,,,270.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hana,KUDO,JPN,6,12.,12.,2.,,,,288.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucie,WATILLON,BEL,7,9.,6.,13.,,,,702.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoé,EGLI,SUI,8,5.,18.,8.,,,,765.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Erica,VELEV,BUL,9,24.,2.,17.,,,,840.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Betka,DEBEVEC,SLO,10,8.,11.,10.,,,,880.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucija,TARKUS,SLO,11,11.,10.,8.,,,,935.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Seoyeon,PARK,KOR,12,17.,3.,19.,,,,1023.75,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Maria,BENACH ZUBERO,ESP,13,6.,13.,14.,,,,1131.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Vana,PICCINI,CRO,14,14.,8.,11.,,,,1320.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Marta,KLIMASZEWSKA,POL,15,26.,7.,17.,,,,3185.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emma Stöver,WOLLEBAEK,NOR,16,19.,28.,7.,,,,3724.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Liv,EGLI,SUI,17,13.,21.,14.,,,,3958.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ingrid,KINDLIHAGEN,NOR,18,22.,17.,12.,,,,4488.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pia,ČULJAK,CRO,19,14.,19.,19.,,,,5557.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ella,EASTON,AUS,20,21.,9.,27.,,,,5575.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joëlle,NIEDERBERGER,SUI,21,10.,23.,27.,,,,6785.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,leah,JEFFRIES,AUS,22,17.,20.,21.,,,,7525.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Evdoxia - Aikaterini,KALLIA,GRE,23,25.,22.,16.,,,,8800.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ignacia,MELLADO QUINTEROS,CHI,24,14.,34.,23.,,,,12240.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tayla,MANNING,NZL,25,28.,16.,27.,,,,13216.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Robin,CASEY,IRL,26,20.,29.,23.,,,,13920.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Gaia Rebecca,TOFT LAURITZEN,DEN,27,23.,35.,21.,,,,17307.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Athanasia,LIOUNI,GRE,28,27.,31.,23.,,,,20088.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eszter,RIESING,HUN,29,30.,26.,26.,,,,20280.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Shreya Sanjay Nankar,NANKAR,IND,30,34.,25.,27.,,,,25075.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ariana,VAN LITH,NZL,31,31.,24.,33.,,,,25296.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ritika,RAWAT,IND,32,35.,27.,27.,,,,27877.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tua,JACOBSSON,SWE,33,29.,33.,27.,,,,28231.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Iasmin,DE QUEIROZ FREITAS,BRA,34,33.,30.,33.,,,,33660.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Popova,JŪLIJA,LAT,35,32.,32.,33.,,,,34816.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sara,COPAR,SLO,1,4.,1.,7.,,,,28.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Aleksandra,TOTKOVA,BUL,2,1.,10.,3.,,,,30.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Heeju,NOH,KOR,3,3.,2.,5.,,,,30.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emilia,WARENSKI,AUT,4,2.,5.,4.,,,,40.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Angie,SCARTH-JOHNSON,AUS,5,5.,22.,1.,,,,110.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sana,OGURA,JPN,6,6.,13.,2.,,,,156.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Carmen,CONTRERAS,CHI,7,9.,3.,19.,,,,513.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Federica,PAPETTI,ITA,8,8.,4.,16.,,,,528.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Markéta,JANOŠOVÁ,CZE,9,11.,11.,9.,,,,1149.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anja,KÖHLER,SUI,10,12.,17.,6.,,,,1224.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Marilu,SOMMER,SUI,11,10.,18.,8.,,,,1440.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emi,TAKASHIBA,CAN,12,14.,8.,16.,,,,1848.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daria,NAWÓJ,POL,13,29.,9.,11.,,,,3001.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anisha,VARMA,IND,14,19.,6.,27.,,,,3249.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucija,BRKIĆ,CRO,15,13.,23.,11.,,,,3438.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ema,SELIŠKAR,SLO,16,7.,30.,18.,,,,3780.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Louise,FLOCKHART,GBR,17,20.,15.,14.,,,,4350.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ellisa,ANDRES,AUS,18,16.,27.,9.,,,,4360.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lana,BAKIĆ,CRO,19,16.,14.,21.,,,,4998.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Napat,DISYABUT,THA,20,27.,7.,27.,,,,5386.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ilia,WIELAND,SUI,21,15.,16.,24.,,,,5880.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Edel,LEMVIK,NOR,22,16.,33.,14.,,,,8134.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nalat,DISYABUT,THA,23,35.,12.,20.,,,,8400.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nattcha,RAVIWONGSE,THA,24,22.,19.,22.,,,,9196.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sofia,DURKOVA,SVK,25,21.,20.,23.,,,,9660.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Anine,HJORTH ALSTRUP,DEN,26,28.,35.,13.,,,,12740.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dasom,YUN,KOR,27,23.,21.,31.,,,,15697.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Beatriz,ROSAS,CHI,28,25.,24.,27.,,,,17100.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zuzanna,MIENTUS,POL,29,24.,25.,31.,,,,19500.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Abby,GEBERT,NZL,30,31.,26.,24.,,,,19747.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daniela,PARADELA GUERRERO,MEX,31,30.,31.,27.,,,,26505.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Niki,SAKKA,GRE,32,26.,28.,35.,,,,26572.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Annika,LORENTZEN,DEN,33,37.,34.,26.,,,,32708.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sohha Ninad,DIWAN,IND,34,34.,32.,31.,,,,35360.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoi,PALTATSIDOU,GRE,35,32.,36.,31.,,,,37440.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Saniya,SHEIKH,IND,36,36.,29.,35.,,,,38106.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jasmin Justesen,RØNNOW,DEN,37,33.,37.,35.,,,,44566.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alia,ROBINSON,NZL,38,38.,38.,35.,,,,52706.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Laura,ROGORA,ITA,1,1.,4.,1.,,,,4.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natalia,GROSSMAN,USA,2,3.,2.,2.,,,,12.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucia,DÖRFFEL,GER,3,2.,7.,3.,,,,42.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alejandra,CONTRERAS,CHI,4,9.,1.,9.,,,,85.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eva Maria,HAMMELMÜLLER,AUT,5,6.,3.,5.,,,,90.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Celina,SCHOIBL,AUT,6,11.,5.,6.,,,,330.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mattea,PÖTZI,AUT,7,5.,20.,4.,,,,400.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mao,NAKAMURA,JPN,8,8.,8.,7.,,,,448.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yuka,HIGUCHI,JPN,9,4.,14.,13.,,,,728.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hannah,HERMANN,SUI,10,7.,13.,9.,,,,864.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mimu,KUROOKA,JPN,11,12.,9.,11.,,,,1188.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Naama,YOHAI,ISR,12,10.,17.,8.,,,,1360.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rut,CASAS MUR,ESP,13,13.,10.,12.,,,,1560.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dagyeong,HAN,KOR,14,18.,6.,16.,,,,1728.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yelyzaveta,LAVRYKOVA,UKR,15,14.,11.,15.,,,,2310.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sarah,TETZLAFF,NZL,16,20.,12.,17.,,,,4080.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hyejun,KIM,KOR,17,15.,15.,20.,,,,4500.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Freja,DUNCAN,SWE,18,16.,21.,14.,,,,4704.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Tseng-shun,WONG,HKG,19,17.,16.,18.,,,,4896.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hyeonsu,KIM,KOR,20,19.,19.,19.,,,,6859.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Abby,MANNING,AUS,21,22.,18.,21.,,,,8712.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,María Fernanda,HIDALGO AMEZQUITA,MEX,22,21.,22.,21.,,,,10164.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Shilpa,CHARAK,IND,23,23.,23.,21.,,,,11638.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ao,YURIKUSA,JPN,1,2.,5.,1.,,,,10.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hajime,TAKEDA,JPN,2,9.,1.,2.,,,,18.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alberto,GINÉS LÓPEZ,ESP,3,1.,6.,3.,,,,18.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Davide Marco,COLOMBO,ITA,4,3.,9.,6.,,,,175.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Héctor,BAZAN MARTÍN,ESP,5,7.,10.,4.,,,,280.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lawrence,BOGESCHDORFER,AUT,6,16.,4.,6.,,,,416.0,,combined
