Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Points,Category
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Lucka,RAKOVEC,SLO,222.0,1,,"50+1.,50+1.,50+1.,50+1.","44 2.,44 2.,44 2.,44 2.",39,46+,1.73,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Laura,ROGORA,ITA,234.0,2,,"16+24.,16+24.,16+24.,16+24.","36+7.,36+7.,36+7.,36+7.",39+,45+,15.62,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Luce,DOUADY,FRA,229.0,3,,"48+3.,48+3.,48+3.,48+3.","30+15.,30+15.,30+15.,30+15.",38+,43,7.83,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mina,MARKOVIC,SLO,237.0,4,,"16+24.,16+24.,16+24.,16+24.","36+7.,36+7.,36+7.,36+7.",43+,42+,15.62,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Jessica,PILZ,AUT,213.0,5,,"46+5.,46+5.,46+5.,46+5.","42+3.,42+3.,42+3.,42+3.",38+,42,3.87,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Tina Johnsen,HAFSAAS,NOR,216.0,6,,"38+11.,38+11.,38+11.,38+11.","30 21.,30 21.,30 21.,30 21.",40+,39,16.39,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Tjasa,KALAN,SLO,201.0,7,,"16+24.,16+24.,16+24.,16+24.","39+4.,39+4.,39+4.,39+4.",40+,22+,11.05,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Anak,VERHOEVEN,BEL,203.0,8,,"50+1.,50+1.,50+1.,50+1.","Top1.,Top1.,Top1.,Top1.",46,21+,1.22,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Camille,POUGET,FRA,206.0,9,,"39 9.,39 9.,39 9.,39 9.","30+15.,30+15.,30+15.,30+15.",38,,12.89,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Anne-Sophie,KOLLER,SUI,217.0,10,,"38+11.,38+11.,38+11.,38+11.","30+15.,30+15.,30+15.,30+15.",38,,14.79,lead
